color,cylinder,finn_code,first_reg,fuel_type,gear,km,model,model_year,power,price,trans
Svart,"1,2 l",138225640,09.11.2005,Bensin,Manuell,99 279 km,Volkswagen Polo,2006,54 Hk,"28 618,-",Forhjulsdrift
Krystall hvit met.,2 l,136125826,,Diesel,Automat,9 900 km,Volvo XC 60,2019,235 Hk,"799 900,-",Firehjulsdrift
Ultimate Santorini Black,3 l,138224798,26.11.2015,Diesel,Automat,35 900 km,Land Rover Discovery,2016,256 Hk,"469 000,-",Firehjulsdrift
Grå,2 l,138223504,31.08.2007,Diesel,Manuell,221 325 km,Toyota Avensis,2007,126 Hk,"39 618,-",Forhjulsdrift
Brun,2 l,138229040,29.04.2014,Diesel,Automat,62 000 km,Skoda Superb,2014,140 Hk,"239 775,-",Forhjulsdrift
Sølv,"2,5 l",138229026,01.10.2002,Bensin,Automat,265 000 km,BMW 3-serie,2003,192 Hk,"69 000,-",
Svart,2 l,138229118,09.06.2005,Diesel,Manuell,185 186 km,Volkswagen Touran,2005,140 Hk,"38 800,-",Forhjulsdrift
Savile grey Perl-/Met 492,"2,4 l",138228894,29.12.2015,Diesel,Automat,50 355 km,Volvo XC 60,2016,190 Hk,"509 000,-",Firehjulsdrift
Pine Grey Metallic 724,2 l,138228875,27.02.2018,Diesel,Automat,16 950 km,Volvo XC 60,2018,190 Hk,"759 000,-",Firehjulsdrift
Blå,"1,6 l",138228851,15.01.2010,Bensin,Manuell,119 000 km,Toyota Avensis,2010,132 Hk,"99 719,-",Forhjulsdrift
Beige,2 l,138228870,14.05.2007,Diesel,Manuell,169 000 km,BMW X3,2007,177 Hk,"99 000,-",Firehjulsdrift
El. silver met.,2 l,138228833,21.11.2017,Diesel,Automat,31 931 km,Volvo V90 Cross Country,2018,190 Hk,"679 000,-",Firehjulsdrift
Blå,2 l,138223019,28.01.2004,Diesel,Automat,200 004 km,Ford Mondeo,2003,131 Hk,"13 618,-",Forhjulsdrift
Estorilblau Metallic,"1,6 l",138228811,25.11.2014,Bensin,Automat,71 500 km,BMW,2015,136 Hk,"199 000,-",
Beige/Gull Metallic med sotede bakvinduer,"1,6 l",138224119,29.04.2011,Diesel,Manuell,65 103 km,Citroen DS3,2011,92 Hk,"74 696,-",Forhjulsdrift
