,finn_code,manufacturer,model,km,power,cylinder,model_age,trans_0,trans_1,trans_2,fuel_type_0,fuel_type_1,fuel_type_2,fuel_type_3,fuel_type_4,gear_0,gear_1
0,138225640,29,312,99.0,54.0,1.2,13,0,1,0,1,0,0,0,0,0,1
1,136125826,30,442,10.0,235.0,2.0,0,1,0,0,0,1,0,0,0,1,0
2,138223504,28,75,221.0,126.0,2.0,12,0,1,0,0,1,0,0,0,0,1
3,138229040,23,382,62.0,140.0,2.0,5,0,1,0,0,1,0,0,0,1,0
4,138229118,29,397,185.0,140.0,2.0,14,0,1,0,0,1,0,0,0,0,1
5,138228894,30,442,50.0,190.0,2.4,3,1,0,0,0,1,0,0,0,1,0
6,138228875,30,442,17.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0
7,138228851,28,75,119.0,132.0,1.6,9,0,1,0,1,0,0,0,0,0,1
8,138228870,1,436,169.0,177.0,2.0,12,1,0,0,0,1,0,0,0,0,1
9,138228833,30,422,32.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0
11,138224119,3,154,65.0,92.0,1.6,8,0,1,0,0,1,0,0,0,0,1
12,138228681,30,416,15.0,120.0,2.0,2,0,1,0,0,1,0,0,0,0,1
13,134398322,0,324,84.0,177.0,2.0,7,1,0,0,0,1,0,0,0,1,0
14,138228564,30,421,17.0,235.0,2.0,1,1,0,0,0,1,0,0,0,1,0
15,138228534,30,415,8.0,120.0,2.0,1,0,1,0,0,1,0,0,0,1,0
16,138225681,28,334,245.0,152.0,2.0,13,0,1,0,1,0,0,0,0,1,0
18,138228514,30,421,20.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0
19,138228428,30,421,15.0,235.0,2.0,1,0,1,0,0,1,0,0,0,1,0
20,138226841,16,299,142.0,140.0,2.0,12,1,0,0,0,1,0,0,0,0,1
21,138226489,1,438,101.0,211.0,3.0,7,1,0,0,0,1,0,0,0,1,0
22,137682860,14,429,161.0,136.0,2.0,6,1,0,0,0,1,0,0,0,1,0
24,138228104,6,175,3.0,200.0,1.5,1,0,1,0,1,0,0,0,0,0,1
25,135637427,30,419,23.0,190.0,2.4,1,1,0,0,0,1,0,0,0,1,0
27,138228047,0,55,114.0,131.0,2.0,12,0,1,0,1,0,0,0,0,1,0
28,138228070,1,31,54.0,258.0,3.0,3,1,0,0,0,1,0,0,0,1,0
29,138227965,30,420,41.0,181.0,2.0,3,0,1,0,0,1,0,0,0,0,1
30,138227816,30,444,34.0,235.0,2.0,1,1,0,0,0,1,0,0,0,1,0
31,138224382,19,89,130.0,131.0,2.0,6,0,1,0,0,1,0,0,0,0,1
32,138227707,1,214,5.0,170.0,0.0,1,0,0,1,0,0,1,0,0,1,0
33,138227693,30,444,34.0,235.0,2.0,1,1,0,0,0,1,0,0,0,1,0
34,138227562,30,421,28.0,407.0,2.0,1,1,0,0,0,0,0,1,0,1,0
35,138223854,28,205,86.0,200.0,2.0,7,0,0,1,1,0,0,0,0,1,0
36,138227583,26,428,30.0,140.0,1.4,3,1,0,0,1,0,0,0,0,1,0
37,138214600,21,238,58.0,90.0,1.5,6,0,1,0,0,1,0,0,0,0,1
38,138227535,8,246,0.0,204.0,0.0,0,0,1,0,0,0,1,0,0,1,0
