finn_code,model_year,manufacturer,model,km,power,gear,trans,first_reg,cylinder,fuel_type,price
138225640,2006,Volkswagen,Polo,99279.0,54.0,Manuell,FWD,2005,1.2,Bensin,28618
136125826,2019,Volvo,XC 60,9900.0,235.0,Automat,AWD,,2.0,Diesel,799900
138223504,2007,Toyota,Avensis,221325.0,126.0,Manuell,FWD,2007,2.0,Diesel,39618
138229040,2014,Skoda,Superb,62000.0,140.0,Automat,FWD,2014,2.0,Diesel,239775
138229118,2005,Volkswagen,Touran,185186.0,140.0,Manuell,FWD,2005,2.0,Diesel,38800
138228894,2016,Volvo,XC 60,50355.0,190.0,Automat,AWD,2015,2.4,Diesel,509000
138228875,2018,Volvo,XC 60,16950.0,190.0,Automat,AWD,2018,2.0,Diesel,759000
138228851,2010,Toyota,Avensis,119000.0,132.0,Manuell,FWD,2010,1.6,Bensin,99719
138228870,2007,BMW,X3,169000.0,177.0,Manuell,AWD,2007,2.0,Diesel,99000
138228833,2018,Volvo,V90 Cross Country,31931.0,190.0,Automat,AWD,2017,2.0,Diesel,679000
138223019,2003,Ford,Mondeo,200004.0,131.0,Automat,FWD,2004,2.0,Diesel,13618
138224119,2011,Citroen,DS3,65103.0,92.0,Manuell,FWD,2011,1.6,Diesel,74696
138228681,2017,Volvo,V40 Cross Country,14797.0,120.0,Manuell,FWD,2017,2.0,Diesel,319900
134398322,2012,Audi,Q3,84000.0,177.0,Automat,AWD,2012,2.0,Diesel,259000
138228564,2018,Volvo,V90,17022.0,235.0,Automat,AWD,2018,2.0,Diesel,669000
138228534,2018,Volvo,V40,7750.0,120.0,Automat,FWD,,2.0,Diesel,319900
138225681,2006,Toyota,RAV4,245084.0,152.0,Automat,FWD,,2.0,Bensin,70618
138223512,2003,Peugeot,206,122000.0,75.0,Manuell,FWD,2019,1.4,Bensin,9118
138228514,2018,Volvo,V90,19579.0,190.0,Automat,AWD,,2.0,Diesel,629000
138228428,2018,Volvo,V90,14565.0,235.0,Automat,FWD,2017,2.0,Diesel,679000
138226841,2007,Mitsubishi,Outlander,142000.0,140.0,Manuell,AWD,2007,2.0,Diesel,109000
138226489,2012,BMW,X5,101000.0,211.0,Automat,AWD,,3.0,Diesel,399800
137682860,2013,Mercedes-Benz,Vito,160900.0,136.0,Automat,AWD,2013,2143.0,Diesel,179000
138223770,1998,Ford,Puma,133500.0,125.0,Manuell,FWD,1998,1679.0,Bensin,7618
138228104,2018,Ford,Fiesta,3385.0,200.0,Manuell,FWD,2018,1.5,Bensin,349900
135637427,2018,Volvo,V60 Cross Country,23207.0,190.0,Automat,AWD,2018,2.4,Diesel,519900
138226647,2014,Skoda,Octavia,88000.0,,Manuell,AWD,2013,,Diesel,178775
138228047,2007,Audi,A4,114429.0,131.0,Automat,FWD,2007,2.0,Bensin,89500
138228070,2016,BMW,5-serie,54100.0,258.0,Automat,AWD,2016,3.0,Diesel,625000
138227965,2016,Volvo,V70,40506.0,181.0,Manuell,FWD,,2.0,Diesel,359000
138227816,2018,Volvo,XC 90,34201.0,235.0,Automat,AWD,2017,2.0,Diesel,869000
138224382,2013,Peugeot,Boxer,130000.0,131.0,Manuell,FWD,2013,2198.0,Diesel,47294
138227707,2018,BMW,i3,5000.0,170.0,Automat,RWD,2018,,Elektrisitet,295000
138227693,2018,Volvo,XC 90,33950.0,235.0,Automat,AWD,2017,2.0,Diesel,869000
138227562,2018,Volvo,V90,27669.0,407.0,Automat,AWD,,2.0,Hybrid,699000
138223854,2012,Toyota,GT86,86000.0,200.0,Automat,RWD,2012,1998.0,Bensin,253775
138227583,2016,Suzuki,Vitara,30000.0,140.0,Automat,AWD,2016,1.4,Bensin,319000
138214600,2013,Renault,Kangoo,58000.0,90.0,Manuell,FWD,2013,1.5,Diesel,67294
138227535,2019,Hyundai,Kona,50.0,204.0,Automat,FWD,2019,0.0,Elektrisitet,409900
138227556,2015,Mercedes-Benz,A-Klasse,84000.0,122.0,Automat,FWD,2015,1.6,Bensin,199775
138225341,2011,Peugeot,iOn,110000.0,48.0,Automat,FWD,2011,0.0,Elektrisitet,49999
115677334,2014,BMW,3-serie,82000.0,136.0,Automat,RWD,2014,1.6,Bensin,238719
138227440,2010,Ford,Mondeo,191000.0,116.0,Manuell,FWD,2009,2.0,Diesel,59000
138227414,2018,Volvo,V60,18692.0,190.0,Automat,FWD,2018,2.0,Diesel,395000
138222262,2019,Kia,Niro,0.0,204.0,Automat,FWD,,,Elektrisitet,470000
138227312,2014,Volkswagen,UP!,122000.0,60.0,Manuell,FWD,2014,1.0,Bensin,54999
138227310,2018,Volvo,XC 60,19950.0,407.0,Automat,AWD,2017,2.0,Hybrid,749000
138227382,2015,Fiat,500,33600.0,114.0,Automat,FWD,,,Elektrisitet,159000
138223032,2011,Volvo,C30,127698.0,109.0,Manuell,FWD,2011,1.6,Diesel,69978
138227295,2011,Toyota,Auris,135649.0,136.0,Automat,FWD,2011,1.8,Bensin,99000
138227279,2013,Opel,ADAM,96698.0,69.0,Manuell,FWD,2013,1.2,Bensin,74900
138227281,2017,Volvo,V90 Cross Country,52.0,190.0,Automat,AWD,,2.0,Diesel,669000
138227201,2018,Volvo,V90 Cross Country,34761.0,190.0,Automat,AWD,,2.0,Diesel,689900
138227204,2012,Mitsubishi,i-Miev,52100.0,64.0,Automat,RWD,2011,,Elektrisitet,84900
138223479,2008,Mercedes-Benz,A-Klasse,113460.0,109.0,Manuell,RWD,2009,2.0,Diesel,48775
138224490,2008,Toyota,Corolla Verso,174000.0,136.0,Manuell,FWD,2008,2.2,Diesel,69900
138226119,1996,Subaru,Domingo,236000.0,54.0,Manuell,AWD,1995,1.2,Bensin,25618
138227111,2014,Citroen,C-Zero,25900.0,67.0,Automat,RWD,2014,,Elektrisitet,104900
138227120,2018,BMW,i3,3000.0,170.0,Automat,RWD,2018,,Elektrisitet,339000
114943412,2007,Mazda,6,210677.0,120.0,Manuell,FWD,2007,1.8,Bensin,33719
138227010,2018,Volvo,XC 60,22416.0,190.0,Automat,AWD,2017,2.0,Diesel,729000
138227089,2016,Volkswagen,Polo,16500.0,110.0,Automat,FWD,2016,1.2,Bensin,195000
122214316,2017,Mercedes-Benz,Sprinter,91000.0,163.0,Automat,RWD,2017,2.1,Diesel,499019
138215149,2019,BMW,X5,10.0,265.0,Automat,AWD,,6.0,Diesel,1199000
138226928,2016,Volvo,XC 60,62275.0,163.0,Automat,AWD,2016,2.4,Diesel,499900
138226923,2016,Skoda,Superb,93201.0,150.0,Automat,FWD,2015,2.0,Diesel,299900
138226803,2018,Tesla,Model S,27000.0,524.0,Automat,AWD,2018,0.0,Elektrisitet,639000
138226818,2014,Citroen,C-Zero,51500.0,67.0,Automat,RWD,2014,,Elektrisitet,96900
138226793,2018,BMW,i3,30500.0,184.0,Automat,RWD,2018,,Elektrisitet,325000
138222708,2008,Opel,Vectra,153000.0,101.0,Manuell,FWD,2008,1.9,Diesel,55719
138226790,2016,Kia,Soul,103200.0,111.0,Automat,FWD,2015,,Elektrisitet,144900
138222994,2003,Volkswagen,Caravelle,230000.0,88.0,Manuell,FWD,2002,2461.0,Diesel,50618
138226768,2014,Kia,Sportage,76907.0,136.0,Manuell,AWD,2014,2.0,Diesel,219500
138226763,2015,Volvo,V70,62872.0,114.0,Manuell,FWD,2015,1.6,Diesel,269000
138226764,2017,Tesla,Model X,38500.0,524.0,Automat,AWD,2017,0.0,Elektrisitet,879900
138226741,2012,Volvo,XC 70,146553.0,163.0,Automat,AWD,2012,2.4,Diesel,289000
138222692,1991,Volkswagen,Golf,78000.0,90.0,Manuell,FWD,2016,1.8,Bensin,39618
138222711,2012,Toyota,Land Cruiser,115699.0,190.0,Automat,AWD,2012,2982.0,Diesel,351294
138226624,2015,BMW,3-serie,42005.0,184.0,Automat,AWD,2015,2.0,Diesel,329000
138226635,2015,Volvo,V40 Cross Country,71070.0,114.0,Automat,FWD,2014,1.6,Diesel,239000
138226652,2011,Audi,A7,108500.0,245.0,Automat,AWD,2011,3.0,Diesel,349000
138226579,2007,Toyota,HiAce,196000.0,117.0,Manuell,AWD,2006,2.5,Diesel,95079
138226612,2016,Skoda,Octavia,75000.0,179.0,Automat,AWD,2016,1.8,Bensin,329900
138221895,2016,Mercedes-Benz,C-Klasse,60000.0,279.0,Automat,RWD,2018,1991.0,Hybrid,316253
137889365,2007,Peugeot,207,63300.0,88.0,Manuell,FWD,2010,1360.0,Bensin,34594
138205785,2008,Peugeot,107,111260.0,68.0,Manuell,FWD,2007,1.0,Bensin,34618
138226443,2017,Volkswagen,Polo,32503.0,90.0,Automat,FWD,2017,1.2,Bensin,195000
138226433,2016,Skoda,Octavia,22997.0,179.0,Automat,AWD,2015,1.8,Bensin,349900
138226416,2018,Mercedes-Benz,E-Klasse,25700.0,401.0,Automat,AWD,2017,3.0,Bensin,1090000
138226438,2016,Volvo,V60,26531.0,233.0,Automat,AWD,2015,2.4,Hybrid,369000
138226385,2016,Skoda,Fabia,50480.0,110.0,Automat,FWD,2015,1.2,Bensin,169900
138226335,2018,Volvo,V90,3400.0,150.0,Automat,AWD,2018,2.0,Diesel,599900
138226363,2014,Volvo,V60,149797.0,136.0,Automat,FWD,2013,2.0,Diesel,199000
131821723,1999,Toyota,Corolla,175000.0,86.0,Automat,FWD,1999,1332.0,Bensin,15000
138226287,2015,Volkswagen,Golf Sportsvan,75200.0,150.0,Automat,FWD,2015,1.4,Bensin,199000
105579828,2004,Volvo,S60,226110.0,163.0,Manuell,FWD,,2.4,Diesel,43360
138226326,2006,Toyota,Avensis,180000.0,116.0,Manuell,FWD,2006,2.0,Diesel,49618
138226302,2019,Hyundai,Kona,42.0,204.0,Automat,FWD,2018,0.0,Elektrisitet,419900
138226331,2018,Skoda,Kodiaq,22713.0,190.0,Automat,AWD,2018,2.0,Diesel,589900
138226172,2019,Volvo,V90 Cross Country,21000.0,240.0,Automat,AWD,2018,2.0,Diesel,869900
138076443,2011,Ford,Fiesta,122870.0,95.0,Manuell,FWD,2011,1.6,Diesel,75196
138225060,2013,Ford,C-Max,61000.0,125.0,Manuell,FWD,,1.0,Bensin,89900
