,finn_code,manufacturer,model,km,power,cylinder,model_age,trans_0,trans_1,trans_2,fuel_type_0,fuel_type_1,fuel_type_2,fuel_type_3,fuel_type_4,gear_0,gear_1,price
6187,135670829,30,418,98.0,181.0,2.0,4,0,1,0,0,1,0,0,0,0,1,246.00000000000003
10136,137791706,6,348,7.0,150.0,2.0,1,0,1,0,0,1,0,0,0,0,1,467.9999999999999
4737,138071547,1,31,12.0,252.0,2.0,1,0,0,1,0,0,0,1,0,1,0,588.9999999999998
3569,138125238,1,18,6.0,252.0,2.0,2,0,0,1,0,0,0,1,0,1,0,418.9999999999998
2760,138145052,8,212,50.0,67.0,1.0,2,0,1,0,1,0,0,0,0,0,1,128.99999999999994
897,138207201,17,256,0.0,150.0,0.0,0,0,1,0,0,0,1,0,0,1,0,323.00000000000017
3876,138117743,6,176,19.0,120.0,1.5,2,0,1,0,0,1,0,0,0,0,1,229.00000000000009
5732,138048846,29,192,0.0,184.0,2.0,1,1,0,0,0,1,0,0,0,1,0,468.9999999999997
8506,137836308,1,31,124.0,258.0,3.0,6,1,0,0,0,1,0,0,0,1,0,388.99999999999983
2628,138142873,30,420,251.0,193.0,2.5,21,0,1,0,1,0,0,0,0,1,0,29.999999999999996
9589,137806309,17,256,35.0,109.0,0.0,5,0,1,0,0,0,1,0,0,1,0,159.99999999999994
6280,138023536,17,256,3.0,149.0,0.0,1,0,1,0,0,0,1,0,0,1,0,285.00000000000006
4768,138070896,1,436,185.0,150.0,2.0,14,1,0,0,0,1,0,0,0,0,1,88.00000000000004
4926,138067083,29,405,64.0,204.0,2.0,2,1,0,0,0,1,0,0,0,1,0,429.9999999999996
9466,137809154,19,303,78.0,90.0,1.6,6,0,1,0,0,1,0,0,0,1,0,88.99999999999994
7254,137929615,1,8,62.0,326.0,3.0,4,1,0,0,1,0,0,0,0,1,0,564.0
1743,138183742,1,214,8.0,184.0,0.0,1,0,0,1,0,0,1,0,0,1,0,358.9999999999998
7631,137894961,8,213,6.0,99.0,1.0,1,0,1,0,1,0,0,0,0,0,1,181.99999999999994
824,129209958,17,310,222.0,160.0,3.0,14,1,0,0,0,1,0,0,0,1,0,131.99999999999991
4794,138069280,7,126,120.0,83.0,1.3,10,0,1,0,1,0,0,0,0,0,1,64.99999999999997
9602,137806043,28,453,50.0,100.0,1.5,4,0,1,0,0,0,0,1,0,1,0,148.99999999999991
9071,137818246,17,316,129.0,109.0,1.6,15,0,1,0,1,0,0,0,0,0,1,34.99999999999999
10568,134110486,30,443,232.0,163.0,2.4,16,1,0,0,0,1,0,0,0,1,0,61.00000000000002
3323,138131893,19,303,95.0,90.0,1.6,6,0,1,0,0,1,0,0,0,0,1,85.00000000000003
1231,138199666,30,441,10.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0,598.9999999999997
6246,138019747,30,417,141.0,109.0,1.6,11,0,1,0,0,1,0,0,0,0,1,52.0
5192,138061609,17,256,7.0,109.0,0.0,2,0,1,0,0,0,1,0,0,1,0,229.00000000000009
4917,138067445,1,214,38.0,170.0,0.0,3,0,0,1,0,0,1,0,0,1,0,205.0
6020,138039803,18,140,75.0,95.0,1.3,8,0,1,0,0,1,0,0,0,0,1,74.99999999999999
3618,80604673,1,434,85.0,136.0,2.0,7,1,0,0,0,1,0,0,0,1,0,215.0
8135,137857400,6,348,96.0,116.0,1.6,5,0,1,0,0,1,0,0,0,0,1,232.00000000000003
